City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Camargo,MX,79.61,scattered clouds,27.67,-105.17,Hotel Santa Fe
253,Coahuayana,MX,80.6,scattered clouds,18.73,-103.68,Hotel Los Arcos
255,Alta Floresta,BR,81.37,light rain,-9.88,-56.09,Floresta Amazonica Hotel
259,Biak,ID,78.22,overcast clouds,-0.91,122.88,Kost Ariz
260,Juruti,BR,86.25,overcast clouds,-2.15,-56.09,Hotel Acauã - ORLA
263,Necochea,AR,87.01,clear sky,-38.55,-58.74,dyd -mar Hotel
264,Sharjah,AE,75.2,clear sky,25.36,55.4,Swiss Belhotel Sharjah
274,Bonfim,BR,87.93,broken clouds,3.08,-59.95,
275,Gamba,GA,76.77,overcast clouds,-2.65,10.0,
278,Tougan,BF,76.12,few clouds,13.07,-3.07,Hôtel SMAK
283,Boca Do Acre,BR,90.09,overcast clouds,-8.75,-67.4,Hotel Linhares
284,Viedma,AR,93.99,clear sky,-40.81,-63.0,Hotel Cristal
288,San Andres,CO,87.8,broken clouds,12.58,-81.7,Hotel Arena Blanca
289,Maldonado,UY,81.0,clear sky,-34.67,-54.92,La Cimarrona
291,Le Vauclin,MQ,82.4,few clouds,14.55,-60.84,Hôtel Cap Macabou
293,Rio Cuarto,AR,78.8,scattered clouds,-33.13,-64.35,Hotel Menossi
300,Mitsamiouli,KM,80.98,clear sky,-11.38,43.28,Foyer ADM
302,Sao Felix Do Xingu,BR,79.97,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
306,Teotitlan,MX,82.47,clear sky,18.13,-97.08,Autolavado El Chente
308,General Roca,AR,91.4,clear sky,-39.03,-67.58,Hotel El Recreo
309,Sao Joao Da Barra,BR,80.6,clear sky,-21.64,-41.05,Pousada Porto De Canoas
310,Escarcega,MX,87.42,scattered clouds,18.61,-90.75,Hotel Maria Isabel
315,Hambantota,LK,76.93,overcast clouds,6.12,81.12,Bungalow 63
317,Broken Hill,AU,86.0,clear sky,-31.95,141.43,Daydream Motel & Cottages
321,Fomboni,KM,81.88,clear sky,-12.28,43.74,Auberge les abou
325,Tulua,CO,78.8,thunderstorm,4.08,-76.2,Hotel Corazón del Valle
329,Alofi,NU,82.4,broken clouds,-19.06,-169.92,Taloa Heights
330,Pozo Colorado,PY,92.32,broken clouds,-23.49,-58.8,Hospedaje la Amistad
332,Port Macquarie,AU,75.0,few clouds,-31.43,152.92,Rydges Port Macquarie
336,Bandarbeyla,SO,75.63,clear sky,9.49,50.81,JABIR HOTEL
340,Arlit,NE,79.03,clear sky,18.74,7.39,Hôtel Telwa Bungalow
344,Tam Ky,VN,75.2,light rain,15.57,108.48,Nhà Nghỉ Phương Hòa
347,Parati,BR,84.2,scattered clouds,-23.22,-44.71,Che Lagarto Paraty
350,Cabo San Lucas,MX,82.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
351,Tarauaca,BR,84.16,light rain,-8.16,-70.77,Flat Temporada
